Country,Company Name,Company ID 1,Company ID 2,Company ID 3,Company ID 4,Country,ZIP Code
ES,"SENER INGENIERIA Y SISTEMAS, S.A. ",A48024723,,,ESA48024723,LAS ARENAS,48930
ES,Servicios de la Com. de Pamplona SA,A31118441,,,ESA31118441,PAMPLONA,31002
ES,"SERVICIOS INTEGRALES CARRACILLO, S. ",B40183337,,,ESB40183337,CHAÑE,40216
ES,"SILIKEN MODULES, S.L.U. ",B97744866,,,,RAFELBUÑOL,46138
ES,SISTEMAS ENERGETICOS DEL MONCAYO SA,A42148254,,,,VALLADOLID,47008
ES,"SOAP SOLAR, S.L. ",B73382749,,,,30153 CORVERA,30153
DE,SAILER SOLARSYSTEME GMBH,DE203527413,,,DE203527413,89584 Ehingen/Donau,89584
ES,"SALTOS DEL ARGA, S.L. ",B31825318,,,ESB31825318,PUENTE LA REINA,31100
ES,"EOSA ENERGIA, S.R.L. ",B10263945,,,ESB10263945,CACERES,10001
ES,"SANTOLAZ, S.L. ",B31791627,,,,GORRAIZ,31620
ES,"SCHNEIDER ELECTRIC ESPAÑA, S.A.U. ",A08008450,,,ESA08008450,BARCELONA,8019
ES,"SEISÓN 37, SLU ",B34208546,,,,34192 GRIJOTA,34192
ES,"SOFOS PARC PUIGGROS, S.L. ",B25636143,,,ESB25636143,LLEIDA,25191
ES,"SOLARPACK CORP. TECNOLÓGICA, S.A. ",A95363859,,,ESA95363859,GETXO,48992
ES,"EKAIN TALDEA, S.L. ",B20529822,,,ESB20529822,RENTERIA,20100
ES,"EL SALTADERO SOLAR CONSULTING, SL ",B47568258,,,,ZARAGOZA,50009
ES,"ELCA FRICALANZ, S.L. ",B35348069,,,,SAN BARTOLOMÉ,35509
ES,ELECNOR SA,A48027056,,,ESA48027056,Madrid,28028
ES,"ELECTRA IRUN ENDARA, S.A. ",A20001434,,,,31700 ELIZONDO,31700
ES,CAMPOS CORPORACION SOLUCIONES INTEGRALES SL,B02156214,,,ESB02156214,02611 OSSA DE MONTIEL,2611
ES,SOFOS ENERGIA S.L.U.,B25558354,,,ESB25558354,LERIDA,25191
ES,"SOLINJUBER, S.L. ",B73382061,,,,30140 SANTOMERA,30140
ES,"SOL SURESTE, S.L. ",B73086043,,,ESB73086043,MURCIA,30002
ES,"SOLAR DEALER, S.L. ",B95323754,,,ESB95323754,Bilbao,48008
ES,"SOLAR FOTOVOLTÁICA ALTOARAGÓN, S.L. ",B22295463,,,,HUESCA,22005
ES,SOLAR JIENENSE SL,B23039480,,,ESB23039480,JAEN,23009
ES,SOLARIA ENERGIA Y MEDIO AMBIENTE SA,A83511501,,,ESA83511501,MADRID,28008
ES,"SOLARIS INNOVACIONES ENERGÉTICAS, S ",B73404295,,,ESB73404295,LORCA,30817
ES,SUNSTROOM,B31886351,,,,LOS ARCOS,31210
ES,UNIVERSIDAD DE BURGOS,Q0968272E,,,ESQ0968272E,BURGOS,9001
ES,UNIVERSIDAD PÚBLICA DE NAVARRA DPTO.INGENIERÍA ELECTRICA,Q3150012G,,,ESQ3150012G,PAMPLONA,31006
ES,V3J INGENIERIA Y SERVICIOS SL,B96599006,,,ESB96599006,VALENCIA,46002
ES,Seenso Renoval S.L.,B83881458,,,ESB83881458,Madrid,28040
ES,"WATT87FORK, S.L. Att. Jose Luis Arribas",B05196092,,,,AVILA,5003
ES,"TERMOSOLAR CANARIAS, S.L. ",B35874528,,,,AGÜIMES,35118
ES,"TFM ENERGIA SOLAR FOTOVOLTAICA, S.A ",A60060274,,,ESA60060274,BARCELONA,8029
